ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
1_100_1000_15_1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,3033.38067
1_100_1000_15_2,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CO2 per unit,3029.26000
1_100_1000_15_3,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CH4 per unit,2.52000
1_100_1000_15_4,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of N2O per unit,1.60067
1_100_1000_8_1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e,1.74533
1_100_1000_8_2,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CO2 per unit,1.74296
1_100_1000_8_3,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CH4 per unit,0.00144
1_100_1000_8_4,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of N2O per unit,0.00092
1_100_1000_7_1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.24107
1_100_1000_7_2,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CO2 per unit,0.24074
1_100_1000_7_3,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CH4 per unit,0.00020
1_100_1000_7_4,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of N2O per unit,0.00012
1_100_1000_6_1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.22241
1_100_1000_6_2,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.22210
1_100_1000_6_3,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00019
1_100_1000_6_4,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of N2O per unit,0.00012
1_100_1001_15_1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,2575.46441
1_100_1001_15_2,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CO2 per unit,2570.42000
1_100_1001_15_3,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CH4 per unit,3.85280
1_100_1001_15_4,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of N2O per unit,1.19161
1_100_1001_8_1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.45070
1_100_1001_8_2,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CO2 per unit,0.44982
1_100_1001_8_3,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CH4 per unit,0.00067
1_100_1001_8_4,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of N2O per unit,0.00020
1_100_1001_7_1,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e,0.20270
1_100_1001_7_2,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CO2 per unit,0.20229
1_100_1001_7_3,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CH4 per unit,0.00031
1_100_1001_7_4,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of N2O per unit,0.00010
1_100_1001_6_1,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e,0.18296
1_100_1001_6_2,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18259
1_100_1001_6_3,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00028
1_100_1001_6_4,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of N2O per unit,0.00009
1_100_1002_15_1,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e,2603.30441
1_100_1002_15_2,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of CO2 per unit,2598.26000
1_100_1002_15_3,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of CH4 per unit,3.85280
1_100_1002_15_4,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of N2O per unit,1.19161
1_100_1002_8_1,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e,1.17797
1_100_1002_8_2,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CO2 per unit,1.17568
1_100_1002_8_3,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CH4 per unit,0.00175
1_100_1002_8_4,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of N2O per unit,0.00054
1_100_1002_7_1,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e,0.20489
1_100_1002_7_2,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CO2 per unit,0.20448
1_100_1002_7_3,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CH4 per unit,0.00031
1_100_1002_7_4,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of N2O per unit,0.00010
1_100_1002_6_1,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e,0.18494
1_100_1002_6_2,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18457
1_100_1002_6_3,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00028
1_100_1002_6_4,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of N2O per unit,0.00009
1_100_1003_15_1,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e,2939.36095
1_100_1003_15_2,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CO2 per unit,2935.18000
1_100_1003_15_3,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CH4 per unit,2.55360
1_100_1003_15_4,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of N2O per unit,1.62735
1_100_1003_8_1,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e,1.55713
1_100_1003_8_2,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CO2 per unit,1.55491
1_100_1003_8_3,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CH4 per unit,0.00136
1_100_1003_8_4,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of N2O per unit,0.00086
1_100_1003_7_1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.23032
1_100_1003_7_2,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CO2 per unit,0.22999
1_100_1003_7_3,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CH4 per unit,0.00020
1_100_1003_7_4,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of N2O per unit,0.00012
1_100_1003_6_1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.21450
